Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;09;08;08;00;15.32;94.00;1015.20;0.00;0.00;100.00;0.00;0.00;100.00;0.00;27.59;2.19;279.46;2.97;284.04;11.97;254.29;10.44
2018;09;08;09;00;16.69;85.00;1015.60;0.00;0.00;100.00;0.00;0.00;100.00;0.00;161.98;3.32;257.47;3.26;263.66;13.10;254.05;9.00
2018;09;08;10;00;18.28;76.00;1015.70;0.00;0.00;100.00;0.00;0.00;100.00;0.00;356.00;6.44;243.43;6.49;250.56;13.01;255.58;9.36
2018;09;08;11;00;19.30;72.00;1015.50;0.00;0.00;67.00;0.00;0.00;67.00;17.23;566.93;10.74;230.44;10.30;233.53;12.02;261.38;13.32
2018;09;08;12;00;17.92;79.00;1016.20;0.00;0.00;100.00;0.00;0.00;100.00;0.00;547.35;15.58;229.69;16.14;231.34;10.80;270.00;17.28
2018;09;08;13;00;22.96;64.00;1016.60;0.00;0.00;10.00;0.00;0.00;10.00;53.62;745.82;16.30;223.21;16.30;223.21;4.21;250.02;14.04
2018;09;08;14;00;23.11;63.00;1016.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;785.87;17.65;230.79;18.16;230.63;1.61;243.43;15.12
2018;09;08;15;00;23.01;64.00;1016.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;795.66;19.38;234.83;19.97;236.02;0.36;180.00;16.20
2018;09;08;16;00;22.83;65.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;717.34;20.50;239.38;21.79;239.20;0.80;63.43;19.44
2018;09;08;17;00;22.96;65.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;591.85;20.14;245.73;21.10;244.75;2.74;66.80;16.92
2018;09;08;18;00;23.47;61.00;1015.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;428.09;16.66;263.80;15.94;263.52;0.80;116.57;15.48
2018;09;08;19;00;23.01;58.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;241.19;14.24;290.73;14.02;299.20;5.00;149.74;13.32
2018;09;08;20;00;19.65;72.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;55.04;54.29;12.54;309.17;20.15;311.38;7.90;149.93;14.40
2018;09;08;21;00;17.70;87.00;1016.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.81;322.43;20.47;325.75;7.97;161.57;17.28
2018;09;08;22;00;16.64;95.00;1017.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.66;333.43;19.97;332.05;7.97;161.57;20.16
2018;09;08;23;00;16.12;96.00;1017.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.23;336.80;17.58;337.11;7.24;153.43;14.40
2018;09;09;00;00;15.89;96.00;1017.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.17;342.47;13.91;338.75;7.20;143.13;10.44
2018;09;09;01;00;15.81;94.00;1018.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.05;4.09;7.34;348.69;6.64;130.60;12.24
2018;09;09;02;00;15.68;96.00;1017.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.40;57.99;2.74;113.20;6.76;115.20;3.96
2018;09;09;03;00;15.27;97.00;1017.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.35;65.56;6.19;125.54;7.99;97.77;3.24
2018;09;09;04;00;14.74;99.00;1017.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.32;12.53;3.26;96.34;8.29;87.51;2.52
2018;09;09;05;00;14.21;100.00;1017.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.02;349.70;2.90;240.26;9.69;74.93;2.16
2018;09;09;06;00;13.89;98.00;1016.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.76;16.70;3.10;234.46;12.72;64.89;2.88
2018;09;09;07;00;13.95;94.00;1017.20;0.00;0.00;0.00;0.00;0.00;0.00;50.33;0.00;3.32;12.53;0.00;180.00;14.17;62.78;1.08
2018;09;09;08;00;15.28;85.00;1017.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;42.72;2.88;360.00;2.81;50.19;15.78;62.85;4.32
2018;09;09;09;00;19.19;67.00;1017.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;225.17;3.88;21.80;3.22;26.57;17.29;58.63;10.08
2018;09;09;10;00;23.00;54.00;1017.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;413.85;5.12;50.71;6.64;49.40;18.00;78.47;7.92
2018;09;09;11;00;25.64;48.00;1017.50;0.00;0.00;8.00;0.00;0.00;8.00;54.89;576.72;5.94;75.96;8.89;68.63;19.44;88.94;10.08
2018;09;09;12;00;26.30;47.00;1017.20;0.00;0.00;48.00;0.00;0.00;48.00;29.36;701.32;4.38;170.54;4.33;138.37;8.85;63.43;10.80
2018;09;09;13;00;27.68;41.00;1018.60;0.00;0.00;10.00;0.00;0.00;10.00;53.62;793.88;0.36;360.00;4.83;63.43;16.83;48.47;9.72
2018;09;09;14;00;29.34;36.00;1018.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;783.20;1.02;315.00;4.61;51.34;16.58;55.62;7.20
2018;09;09;15;00;30.00;37.00;1017.60;0.00;0.00;10.00;0.00;0.00;10.00;53.62;772.52;13.68;333.43;14.59;344.25;12.76;73.61;18.72
2018;09;09;16;00;27.70;44.00;1017.60;0.00;0.00;10.00;0.00;0.00;10.00;53.62;672.84;25.62;340.29;29.94;341.78;10.95;62.59;24.84
2018;09;09;17;00;26.90;46.00;1018.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;576.72;24.19;345.34;26.72;345.96;15.26;70.71;22.68
2018;09;09;18;00;26.09;47.00;1018.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;420.08;20.24;354.90;21.65;356.19;17.11;75.38;21.24
2018;09;09;19;00;24.47;51.00;1018.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;234.07;15.99;352.23;16.75;351.35;14.04;67.38;17.28
2018;09;09;20;00;21.29;64.00;1018.90;0.00;0.00;10.00;0.00;0.00;10.00;47.84;49.84;12.31;344.74;16.24;347.20;11.72;42.51;20.88
2018;09;09;21;00;19.26;71.00;1019.50;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;11.97;344.29;17.30;347.99;13.28;32.83;25.20
2018;09;09;22;00;18.24;75.00;1019.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.06;353.16;16.30;353.66;16.06;47.73;27.00
2018;09;09;23;00;17.32;83.00;1019.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.85;3.01;11.01;11.31;13.05;65.56;11.52
2018;09;10;00;00;16.61;88.00;1019.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.29;13.24;6.15;20.56;12.61;91.64;15.12
2018;09;10;01;00;16.22;90.00;1019.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.29;23.63;8.37;64.54;12.76;106.39;7.92
2018;09;10;02;00;16.13;85.00;1019.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.24;26.57;16.42;37.87;12.07;107.35;7.92
2018;09;10;03;00;16.99;76.00;1019.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.93;39.47;20.42;40.71;9.73;92.12;7.20
2018;09;10;04;00;17.20;75.00;1018.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.18;45.00;23.69;43.15;10.39;75.96;7.92
2018;09;10;05;00;17.27;75.00;1018.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.20;45.00;26.25;42.22;14.24;69.27;8.64
2018;09;10;06;00;17.21;74.00;1018.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.22;45.00;28.52;43.98;19.39;68.20;10.80
2018;09;10;07;00;17.53;71.00;1019.30;0.00;0.00;0.00;0.00;0.00;0.00;49.51;0.00;13.49;43.92;32.35;47.25;23.34;70.17;13.32
2018;09;10;08;00;20.93;57.00;1019.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;40.05;15.79;43.15;30.38;49.33;26.65;73.52;17.64
2018;09;10;09;00;25.59;44.00;1019.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;219.83;15.58;49.69;16.42;52.13;30.65;77.11;19.44
2018;09;10;10;00;29.38;34.00;1019.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;407.62;8.67;85.24;9.78;83.66;31.97;82.23;14.76
2018;09;10;11;00;30.08;33.00;1019.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;570.49;8.40;149.04;7.99;144.16;23.27;82.00;16.56
2018;09;10;12;00;26.29;46.00;1019.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;699.54;18.20;204.54;21.49;211.29;22.82;83.66;13.32
2018;09;10;13;00;28.58;38.00;1018.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;786.76;15.19;185.44;18.25;194.86;26.76;72.78;16.92
2018;09;10;14;00;28.11;40.00;1018.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;815.24;17.65;191.77;19.09;177.84;23.44;79.38;18.00
2018;09;10;15;00;27.72;41.00;1018.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;787.65;15.68;211.87;16.99;216.38;13.68;90.00;15.12
2018;09;10;16;00;28.79;36.00;1017.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;706.66;12.48;226.17;11.75;220.03;3.98;174.81;10.08
